District,Neighborhood,Num_Of_Room,Area,Age,Apt_Floor,Credit_Eli,Items,Num_of_Bath,Floor_basement,Floor_first floor,Floor_interstage,Floor_top floor,Heat_type_Kombi,Heat_type_Merkezi,Heat_type_Merkezi (Pay Ölçer),Usage_Boş,Usage_Kiracılı,Usage_Mülk Sahibi,Price
Altındağ,Hacettepe,4,120.0,30,4,1,0,1,0,0,1,0,1,0,0,0,1,0,1550000
Mamak,Abidinpaşa,4,110.0,27,4,1,0,1,0,0,1,0,0,1,0,0,1,0,1450000
Çankaya,İlkadım,4,125.0,28,5,1,0,2,1,0,0,0,1,0,0,1,0,0,2650000
Keçiören,Sancaktepe,5,188.0,3,25,1,0,2,0,0,1,0,0,1,0,0,0,1,4100000
Yenimahalle,Pamuklar,5,200.0,4,16,1,0,2,0,0,1,0,0,0,1,1,0,0,3495000
Mamak,Mutlu,4,130.0,11,3,1,0,2,0,0,1,0,1,0,0,0,0,1,1730000
Keçiören,Ayvalı,4,125.0,25,3,1,0,1,0,0,1,0,1,0,0,1,0,0,1350000
Yenimahalle,İnönü,4,110.0,28,4,1,0,1,0,0,1,0,0,1,0,0,0,1,1675000
Keçiören,Esertepe,4,125.0,20,3,1,0,1,0,1,0,0,1,0,0,0,0,1,1499000
Altındağ,Beşikkaya,4,115.0,10,3,1,0,1,0,1,0,0,1,0,0,1,0,0,849000
Keçiören,Ufuktepe,4,110.0,16,3,1,0,1,1,0,0,0,1,0,0,0,1,0,849000
Pursaklar,Merkez,4,150.0,12,8,1,0,2,0,0,1,0,0,0,1,1,0,0,2295000
Çankaya,İlkadım,2,95.0,24,3,1,1,1,0,1,0,0,1,0,0,1,0,0,1320000
Keçiören,Etlik,4,110.0,25,3,1,0,1,0,1,0,0,1,0,0,0,1,0,1200000
Sincan,Pınarbaşı,4,130.0,13,3,1,0,1,0,0,1,0,1,0,0,0,0,1,1599000
